Puzzle | Shortest Path (None) | Execution Time (None) | Execution Time (Blocking Cars) | Execution Time (Distance to Exit)
--- | --- | --- | --- | ---
GameP01 | 8 | 1.92387s | 3.37481s | 2.33119s
GameP02 | 8 | 4.93871s | 8.03786s | 3.89587s
GameP03 | 14 | 1.2192s | 1.89995s | 1.90143s
GameP04 | 9 | 0.550076s | 0.747967s | 0.737786s
GameP05 | 9 | 4.34273s | 8.52774s | 3.47556s
GameP06 | 9 | 3.168s | 6.18358s | 4.01544s
GameP07 | 13 | 9.56414s | 17.1354s | 10.1358s
GameP08 | 12 | 1.39199s | 2.24253s | 2.23219s
GameP09 | 12 | 1.22148s | 1.62354s | 1.62481s
GameP10 | 17 | 3.40901s | 6.18985s | 6.12946s
GameP11 | 25 | 1.28794s | 2.20052s | 2.14435s
GameP12 | 17 | 2.10181s | 2.39691s | 2.39455s
GameP13 | 16 | 16.3945s | 2.35562s | 2.42215s
GameP14 | 17 | 23.5623s | 46.2435s | 17.9858s
GameP15 | 23 | 0.665312s | 0.928297s | 0.906048s
GameP16 | 21 | 4.71067s | 15.1697s | 9.1728s
GameP17 | 24 | 4.33372s | 7.08946s | 4.08591s
GameP18 | 25 | 2.84294s | 4.92346s | 4.92917s
GameP19 | 22 | 0.600787s | 0.864488s | 0.899149s
GameP20 | 10 | 2.47818s | 14.0987s | 14.1203s
GameP21 | 21 | 0.280474s | 0.351381s | 0.342382s
GameP22 | 26 | 7.41271s | 12.269s | 5.2083s
GameP23 | 29 | 4.68071s | 5.99326s | 5.97907s
GameP24 | 25 | 11.9373s | 37.6975s | 13.3798s
GameP25 | 27 | 21.3424s | 82.5113s | 11.7968s
GameP26 | 28 | 10.2368s | 15.5662s | 14.3841s
GameP27 | 28 | 5.04467s | 9.43819s | 6.1634s
GameP28 | 30 | 4.59101s | 8.33656s | 7.85253s
GameP29 | 31 | 9.25865s | 24.0512s | 8.8347s
GameP30 | 32 | 2.16873s | 2.91505s | 1.92452s
GameP31 | 37 | 8.37337s | 23.1493s | 6.1113s
GameP32 | 37 | 0.751983s | 1.11405s | 1.11746s
GameP33 | 40 | 10.4976s | 27.6995s | 17.2694s
GameP34 | 43 | 10.2605s | 29.1481s | 19.5088s
GameP35 | 43 | 10.8472s | 32.2994s | 8.5063s
GameP36 | 44 | 8.04774s | 7.96037s | 6.75368s
GameP37 | 47 | 5.16775s | 5.69653s | 5.60806s
GameP38 | 48 | 11.0382s | 19.9825s | 11.2087s
GameP39 | 50 | 6.66721s | 18.3049s | 17.1528s

